eps_t,dt,opt_factor,grad_factor,energy_factor,stddev,|norm(H)|
0.0,0.0001,0,0.0,0,3.31662479,5.0
0.0,0.0001,0,0.0,0,3.31662483,5.0
0.0,0.0001,0,0.0,0,3.31662525,5.0
0.0,0.0001,0,0.0,0,3.31662946,5.0
0.0,0.0001,0.0,0.0,0.0,3.31667147,5.0
0.0,0.0001,0.0,6e-08,0.0,3.31687862,5.0
0,0.0001,0,0.0,0,3.31768922,5.0
0,0.0001,0,0.0,0,3.31864206,5.0
0,0.0001,0.0,1.2e-07,0.0,3.32204286,5.0
0,0.0001,0,0.0,0,3.32262981,5.0
0,0.0001,0,0.0,0,3.32318563,5.0
0,0.0001,0,0.0,0,3.32702617,5.0
0,0.0001,0,0.0,0,3.19723801,5.0
0,0.0001,0,0.0,0,2.69814035,5.0
0,0.0001,0.0,4e-08,0.0,2.06484569,5.0
0,0.0001,0.0,4e-08,0.0,2.05571711,5.0
0,0.0001,0.0,4e-08,0.0,2.04660405,5.0
0,0.0001,0.0,6e-08,0.0,2.0307695,5.0
0,0.0001,0,0.0,0,2.01903329,5.0
0,0.0001,0,0.0,0,2.00789793,5.0
0,0.0001,0,0.0,0,1.99519374,5.0
0,0.0001,0,0.0,0,1.98252499,5.0
0,0.0001,0,0.0,0,1.96553858,5.0
0,0.0001,0,0.0,0,1.94862014,5.0
0,0.0001,0,0.0,0,1.91018739,5.0
0,0.0001,0,0.0,0,1.85738287,5.0
0,0.0001,0.0,8e-08,0.0,1.80538835,5.0
0,0.0001,0,0.0,0,1.78762292,5.0
0,0.0001,0,0.0,0,1.76996194,5.0
0,0.0001,0,0.0,0,1.76228195,5.0
0,0.0001,0,0.0,0,1.75462236,5.0
0,0.0001,0,0.0,0,1.67917637,5.0
0,0.0001,0,0.0,0,1.57031682,5.0
0,0.0001,0,0.0,0,1.42645939,5.0
0,0.0001,0,0.0,0,1.39020546,5.0
0,0.0001,0,0.0,0,1.35468268,5.0
0,0.0001,0,0.0,0,1.29292753,5.0
0,0.0001,0,0.0,0,0.79760747,5.0
0,0.0001,0,0.0,0,0.66466937,5.0
0,0.0001,0,0.0,0,0.55312403,5.0
0,0.0001,0,0.0,0,0.44201391,5.0
0,0.0001,0.0,5e-08,0.0,0.39278491,5.0
0,0.0001,0,0.0,0,0.37555909,5.0
0,0.0001,0.0,5e-08,0.0,0.35907999,5.0
0,0.0001,0.0,5e-08,0.0,0.3463896,5.0
0,0.0001,0.0,3e-08,0.0,0.34389634,5.0
0,0.0001,0,0.0,0,0.34142085,5.0
0,0.0001,0.0,5e-08,0.0,0.33521562,5.0
0,0.0001,0.0,1e-08,0.0,0.33106213,5.0
0,0.0001,0,0.0,0,0.32695964,5.0
0,0.0001,0.0,6e-08,0.0,0.30363586,5.0
0,0.0001,0.0,8e-08,0.0,0.28788722,5.0
0,0.0001,0,0.0,0,0.27295019,5.0
0,0.0001,0,0.0,0,0.24122322,5.0
0,0.0001,0,0.0,0,0.20403978,5.0
0,0.0001,0.0,8e-08,0.0,0.16638599,5.0
0,0.0001,0.0,4e-08,0.0,0.16495431,5.0
0,0.0001,0.0,2e-08,0.0,0.16353494,5.0
0,0.0001,0,0.0,0,0.15933386,5.0
0,0.0001,0,0.0,0,0.14230257,5.0
0,0.0001,0,0.0,0,0.11367397,5.0
0,0.0001,0,0.0,0,0.0908027,5.0
0,0.0001,0,0.0,0,0.08747721,5.0
0,0.0001,0,0.0,0,0.08427351,5.0
0.00211257,0.0001,0.00214588,0.0,0.00037383,0.07938897,5.0
0.00556863,0.0001,0.00560298,0.0,0.00109323,0.07420161,5.0
0.01665378,0.0001,0.01669232,3e-08,0.0044076,0.06067945,5.0
0.05952565,0.0001,0.05959027,5e-08,0.03462997,0.03477807,5.0
0.26969085,0.0001,0.2699216,0.0,0.63330221,0.01383729,5.0
0.5208789,0.0001,0.52132765,0.0,2.34434678,0.00948173,5.0
